Date,Open,High,Low,Close,Adj Close,Volume
2022-12-22,157000.0,160000.0,150500.0,151000.0,134919.796875,2471503
2022-12-29,151000.0,161500.0,151000.0,159000.0,147675.8125,2960604
2023-01-05,157500.0,168000.0,157500.0,166500.0,154641.65625,2768365
2023-01-12,167500.0,170000.0,162000.0,164000.0,152319.703125,2809686
2023-01-19,163000.0,176200.0,163000.0,175100.0,162629.140625,312402
2023-01-26,177000.0,177600.0,167000.0,169900.0,157799.5,19909
2023-02-02,170100.0,174700.0,169500.0,172600.0,160307.1875,12587
2023-02-09,171600.0,180000.0,171100.0,179300.0,166530.015625,10485
2023-02-16,177400.0,179800.0,174000.0,176200.0,163650.78125,12627
2023-02-23,176200.0,179800.0,170200.0,178500.0,165787.0,2001644
2023-03-02,177500.0,180400.0,174100.0,176300.0,163743.671875,2864509
2023-03-09,174700.0,176700.0,170500.0,174000.0,161607.5,2436307
2023-03-16,175200.0,182400.0,173200.0,180500.0,167644.53125,2481514
2023-03-23,180600.0,181900.0,174800.0,181200.0,168294.6875,2491861
2023-03-30,182000.0,189400.0,181900.0,185100.0,171916.9375,2890525
2023-04-06,185400.0,199900.0,184200.0,198900.0,184734.09375,4324957
2023-04-13,199500.0,199700.0,188200.0,192500.0,178789.890625,3124440
2023-04-20,191100.0,207500.0,188300.0,202000.0,187613.28125,6164238
2023-04-27,203000.0,203500.0,196200.0,199200.0,185012.703125,2564204
2023-05-04,199200.0,211500.0,199200.0,208000.0,193185.953125,3690515
2023-05-11,207000.0,209500.0,201000.0,206500.0,191792.796875,3035459
2023-05-18,206000.0,209000.0,203000.0,203500.0,189006.4375,2188118
2023-05-25,204500.0,207000.0,196300.0,197500.0,183433.78125,3129713
2023-06-01,198500.0,203500.0,194000.0,196700.0,182690.75,2762222
2023-06-08,197400.0,202000.0,195100.0,199700.0,185477.09375,2342561
2023-06-15,201000.0,205000.0,196300.0,202000.0,187613.28125,2675775
2023-06-22,201000.0,206500.0,199000.0,204500.0,189935.21875,2414353
2023-06-29,204500.0,210000.0,204000.0,206500.0,193199.578125,2763341
2023-07-06,205500.0,208000.0,202000.0,203500.0,190392.78125,2569774
2023-07-13,204500.0,209000.0,200000.0,200500.0,187586.03125,2697137
2023-07-20,199700.0,203000.0,194000.0,197800.0,185059.921875,4207062
